,0,1,2,3
0,0.9852775,0.0029051455,0.011805488,1.1938906e-05
1,0.98411673,0.0022868253,0.013586885,9.495921e-06
2,0.70370626,0.0039370763,0.29235142,5.226576e-06
3,0.9945005,0.0016078636,0.0038893903,2.224167e-06
4,0.9946971,0.0019581488,0.0033440304,6.6558067e-07
5,0.87869954,0.00809191,0.11320362,4.874464e-06
6,0.99069536,0.0074046818,0.0018981419,1.8694e-06
7,0.96063703,0.0012534003,0.038106836,2.7173264e-06
8,0.9744427,0.0029604922,0.022594403,2.3784546e-06
9,0.876897,0.02043343,0.10266517,4.3490654e-06
10,0.9981129,0.0007513536,0.0011355141,2.4461087e-07
11,0.9966394,0.00019408796,0.0031656416,8.743467e-07
12,0.9929703,0.0007202415,0.006308405,1.120642e-06
13,0.99666256,0.00010018704,0.0032369948,2.9383588e-07
14,0.8415724,0.08657896,0.07184481,3.7762397e-06
15,0.26693916,0.2351746,0.49788126,5.0324898e-06
16,0.18161935,0.002749923,0.81562936,1.3147861e-06
17,0.39347836,0.0208508,0.5856637,7.171127e-06
18,0.48225543,0.005961185,0.5117803,3.0291787e-06
19,0.12764327,0.0042565176,0.86809653,3.604448e-06
